# id	alt	name	kind	ra_deg	dec_deg	mag	major_arcmin	minor_arcmin	pa_deg	constellation
M1	NGC 1952	Crab Nebula	Neb	83.63240	22.01740	8.4	6.0	4.0		Tau
M2	NGC 7089		GC	323.36258	-0.82325	6.5	13.0	13.0	90	Aqr
M3	NGC 5272		GC	205.54842	28.37728	6.4	16.0	16.0	90	CVn
M4	NGC 6121	Spider Globular Cluster	GC	245.89675	-26.52575	5.9	26.0	26.0	90	Sco
M5	NGC 5904	Rose Cluster	GC	229.63842	2.08103	5.8	17.0	17.0	90	Ser
M6	NGC 6405	Butterfly Cluster	OC	265.06917	-32.24194	4.2	15.0	15.0	90	Sco
M7	NGC 6475	Ptolemy's Cluster	OC	268.44708	-34.84111	3.3	80.0	80.0	0	Sco
M8	NGC 6523	Lagoon Nebula	Neb	270.90417	-24.38667	5.8	90.0	40.0		Sgr
M9	NGC 6333		GC	259.79908	-18.51625	7.9	9.0	9.0	0	Oph
M10	NGC 6254		GC	254.28771	-4.10031	6.6	15.0	15.0	90	Oph
M11	NGC 6705	Wild Duck Cluster	OC	282.76583	-6.27194	5.8	14.0	14.0	0	Sct
M12	NGC 6218		GC	251.80908	-1.94853	6.6	14.0	14.0	90	Oph
M13	NGC 6205	Great Hercules Cluster	GC	250.42347	36.46132	5.9	17.0	17.0	0	Her
M14	NGC 6402		GC	264.40063	-3.24592	7.6	12.0	12.0	0	Oph
M15	NGC 7078	Great Pegasus Cluster	GC	322.49304	12.16700	6.4	12.0	12.0	90	Peg
M16	NGC 6611	Eagle Nebula	OC	274.68800	-13.79200	6.0	7.0	7.0	0	Ser
M17	NGC 6618	Omega, Swan, Horseshoe, Lobster, or Checkmark Nebula	Neb	275.19583	-16.17167	7.0	46.0	37.0	90	Sgr
M18	NGC 6613	Black Swan Cluster	OC	274.98750	-17.08833	6.9	9.0	9.0	90	Sgr
M19	NGC 6273		GC	255.65704	-26.26794	7.2	14.0	14.0	0	Oph
M20	NGC 6514	Trifid Nebula	Neb	270.67500	-22.97167	8.5	29.0	27.0	90	Sgr
M21	NGC 6531	Webb's Cross Cluster	OC	271.03583	-22.50500	5.9	13.0	13.0	0	Sgr
M22	NGC 6656	Great Sagittarius Cluster	GC	279.09975	-23.90475	5.1	24.0	24.0	90	Sgr
M23	NGC 6494		OC	269.23708	-18.98694	5.5	27.0	27.0	0	Sgr
M24		Small Sagittarius Star Cloud	Ast	274.20000	-18.55000	4.5	90.0	90.0	90	Sgr
M25	IC4725		OC	277.93708	-19.11389	4.6	32.0	32.0	0	Sgr
M26	NGC 6694		OC	281.31708	-9.38611	8.0	15.0	15.0	0	Sct
M27	NGC 6853	Dumbbell Nebula	PN	299.90151	22.72120	8.1	8.0	4.0	90	Vul
M28	NGC 6626		GC	276.13704	-24.86983	6.9	11.0	11.0	90	Sgr
M29	NGC 6913	Cooling Tower Cluster	OC	305.94167	38.48667	6.6	7.0	7.0	0	Cyg
M30	NGC 7099	Jellyfish Cluster	GC	325.09217	-23.17986	7.5	11.0	11.0	90	Cap
M31	NGC 224	Andromeda Galaxy	Gx	10.68471	41.26875	3.4	178.0	63.0	35	And
M32	NGC 221	Andromeda Satellite #1	Gx	10.67427	40.86517	8.2	8.0	6.0	-20	And
M33	NGC 598	Triangulum/Pinwheel Galaxy	Gx	23.46207	30.66018	5.7	62.0	39.0	22	Tri
M34	NGC 1039	Spiral Cluster	OC	40.53083	42.72194	5.2	35.0	35.0	0	Per
M35	NGC 2168	Shoe-Buckle Cluster	OC	92.27208	24.33611	5.1	28.0	28.0	0	Gem
M36	NGC 1960	Pinwheel Cluster	OC	84.08417	34.13500	6.0	12.0	12.0	0	Aur
M37	NGC 2099	Salt and Pepper Cluster	OC	88.07417	32.54500	5.6	24.0	24.0	0	Aur
M38	NGC 1912	Starfish Cluster	OC	82.16708	35.82389	6.4	21.0	21.0	0	Aur
M39	NGC 7092	Pyramid Cluster	OC	322.88917	48.24694	4.6	32.0	32.0	0	Cyg
M40		Winnecke 4	Ast	185.55000	58.08333	8.0	0.8	0.8		UMa
M41	NGC 2287	Little Beehive Cluster	OC	101.49917	-20.71611	4.5	38.0	38.0	0	CMa
M42	NGC 1976	Great Orion Nebula	Neb	83.82010	-5.38760	4.0	66.0	60.0	90	Ori
M43	NGC 1982	De Mairan's Nebula	Neb	83.87917	-5.27000	9.0	20.0	15.0		Ori
M44	NGC 2632	Beehive Cluster or Praesepe	OC	130.05417	19.62111	3.1	95.0	95.0	0	Cnc
M45		Pleiades, Seven Sisters or Subaru	OC	56.60083	24.11389	1.2	110.0	110.0		Tau
M46	NGC 2437		OC	115.44500	-14.84389	6.1	27.0	27.0	0	Pup
M47	NGC 2422		OC	114.14708	-14.48889	4.4	30.0	30.0	0	Pup
M48	NGC 2548		OC	123.41208	-5.72611	5.8	54.0	54.0	0	Hya
M49	NGC 4472		Gx	187.44490	8.00040	8.4	9.0	7.0	143	Vir
M50	NGC 2323	Heart-Shaped Cluster	OC	105.68417	-8.36500	5.9	16.0	16.0	0	Mon
M51	NGC 5194-5	Whirlpool Galaxy	Gx	202.46957	47.19526	8.1	11.0	8.0	28	CVn
M52	NGC 7654	Scorpion Cluster	OC	351.19500	61.59000	6.9	13.0	13.0	0	Cas
M53	NGC 5024		GC	198.23021	18.16817	7.7	13.0	13.0	90	Com
M54	NGC 6715		GC	283.76387	-30.47986	7.7	9.0	9.0	90	Sgr
M55	NGC 6809	Specter Cluster	GC	294.99879	-30.96475	7.0	19.0	19.0	90	Sgr
M56	NGC 6779		GC	289.14821	30.18347	8.2	7.0	7.0	90	Lyr
M57	NGC 6720	Ring Nebula	PN	283.39624	33.02913	9.0	1.0	1.0	90	Lyr
