# ra,dec,mag,bv,spectral,hd,hip,dist_pc,name  (dist_pc 0 = unknown)
101.2871,-16.7161,-1.46,0.0,A1Vm,48915,32349,2.64,Sirius
95.9879,-52.6958,-0.72,0.15,F0II,45348,30438,95.88,Canopus
213.9154,19.1825,-0.04,1.23,K1.5IIIFe-0.5,124897,69673,11.25,Arcturus
219.8996,-60.8353,-0.01,0.71,G2V,128620,71683,1.35,Rigil Kentaurus
279.2346,38.7836,0.03,0.0,A0Va,172167,91262,7.76,Vega
79.1725,45.9981,0.08,0.8,G5IIIe+G0III,34029,24608,12.94,Capella
78.6346,-8.2017,0.12,-0.03,B8Ia:,34085,24436,236.97,Rigel
114.8254,5.2250,0.38,0.42,F5IV-V,61421,37279,3.5,Procyon
24.4288,-57.2367,0.46,-0.16,B3Vpe,10144,7588,44.09,Achernar
88.7929,7.4069,0.50,1.85,M1-2Ia-Iab,39801,27989,,Betelgeuse
210.9558,-60.3731,0.61,-0.23,B1III,122451,68702,161.03,Hadar
297.6958,8.8683,0.77,0.22,A7V,187642,97649,5.14,Altair
68.9800,16.5092,0.85,1.54,K5+III,29139,21421,19.96,Aldebaran
247.3517,-26.4319,0.96,1.83,M1.5Iab-Ib+B4Ve,148478,80763,,Antares
201.2983,-11.1614,0.98,-0.23,B1III-IV+B2V,116658,65474,80.39,Spica
116.3287,28.0261,1.14,1.0,K0IIIb,62509,37826,10.34,Pollux
344.4129,-29.6222,1.16,0.09,A3V,216956,113368,7.69,Fomalhaut
191.9300,-59.6886,1.25,-0.23,B0.5III,111123,62434,108.11,Mimosa
310.3579,45.2803,1.25,0.09,A2Ia,197345,102098,,Deneb
186.6496,-63.0992,1.33,-0.24,B0.5IV,108248,60718,98.33,Acrux
219.9004,-60.8356,1.33,0.88,K1V,128621,71681,1.35,Toliman
152.0929,11.9672,1.35,-0.11,B7V,87901,49669,23.76,Regulus
104.6562,-28.9722,1.50,-0.21,B2II,52089,33579,132.1,Adhara
187.7913,-57.1133,1.63,1.59,M3.5III,108903,61084,26.96,Gacrux
263.4021,-37.1039,1.63,-0.22,B2IV+B,158926,85927,215.52,Shaula
81.2829,6.3497,1.64,-0.22,B2III,35468,25336,74.52,Bellatrix
81.5729,28.6075,1.65,-0.13,B7III,35497,25428,40.18,Elnath
138.3000,-69.7172,1.68,0.0,A2IV,80007,45238,34.08,Miaplacidus
84.0533,-1.2019,1.70,-0.19,B0Ia,37128,26311,,Alnilam
186.6521,-63.0994,1.73,-0.26,B1V,108249,,,
332.0583,-46.9611,1.74,-0.13,B7IV,209952,109268,31.09,Alnair
193.5071,55.9597,1.77,-0.02,A0pCr,112185,62956,24.81,Alioth
122.3833,-47.3367,1.78,-0.22,WC8+O9I,68273,39953,257.73,
